level,masc,fem,total,uf,mes,ano,var
Consultas psicológicas,2147,1498,3645,pb,dez,2017,cons
Consultas psicológicas,2005,687,2692,pb,jun,2017,cons
Consultas psicológicas,3329,421,3750,pb,dez,2018,cons
Consultas psicológicas,2984,395,3379,pb,jun,2018,cons
Consultas psicológicas,5484,569,6053,pb,dez,2019,cons
Consultas psicológicas,4430,427,4857,pb,jun,2019,cons
Consultas psicológicas,4906,1147,6053,pb,dez,2020,cons
Consultas psicológicas,4779,795,5574,pb,jun,2020,cons
Consultas psicológicas,18622,1296,19918,pe,dez,2014,cons
Consultas psicológicas,17467,320,17787,pe,jun,2014,cons
Consultas psicológicas,30193,2119,32312,pe,dez,2015,cons
Consultas psicológicas,12501,1660,14161,pe,dez,2016,cons
Consultas psicológicas,17554,1055,18609,pe,jun,2016,cons
Consultas psicológicas,13980,1622,15602,pe,dez,2017,cons
Consultas psicológicas,8760,2094,10854,pe,jun,2017,cons
Consultas psicológicas,15555,2437,17992,pe,dez,2018,cons
Consultas psicológicas,11804,1679,13483,pe,jun,2018,cons
Consultas psicológicas,21422,3180,24602,pe,dez,2019,cons
Consultas psicológicas,13970,1968,15938,pe,jun,2019,cons
Consultas psicológicas,19949,996,20945,pe,dez,2020,cons
Consultas psicológicas,18095,2205,20300,pe,jun,2020,cons
Consultas psicológicas,564,136,700,pi,dez,2014,cons
Consultas psicológicas,300,44,344,pi,jun,2014,cons
Consultas psicológicas,2064,542,2606,pi,dez,2015,cons
Consultas psicológicas,663,152,815,pi,dez,2016,cons
Consultas psicológicas,983,188,1171,pi,jun,2016,cons
Consultas psicológicas,651,0,651,pi,dez,2017,cons
Consultas psicológicas,209,312,521,pi,jun,2017,cons
Consultas psicológicas,779,286,1065,pi,dez,2018,cons
Consultas psicológicas,337,150,487,pi,jun,2018,cons
Consultas psicológicas,985,430,1415,pi,dez,2019,cons
Consultas psicológicas,966,82,1048,pi,jun,2019,cons
Consultas psicológicas,1536,356,1892,pi,dez,2020,cons
Consultas psicológicas,1422,273,1695,pi,jun,2020,cons
Consultas psicológicas,6396,35,6431,pr,dez,2014,cons
Consultas psicológicas,7042,303,7345,pr,jun,2014,cons
Consultas psicológicas,6414,369,6783,pr,dez,2015,cons
Consultas psicológicas,4524,27,4551,pr,dez,2016,cons
Consultas psicológicas,3420,566,3986,pr,jun,2016,cons
Consultas psicológicas,4873,154,5027,pr,dez,2017,cons
Consultas psicológicas,5969,44,6013,pr,jun,2017,cons
Consultas psicológicas,3973,132,4105,pr,dez,2018,cons
Consultas psicológicas,4317,149,4466,pr,jun,2018,cons
Consultas psicológicas,3763,143,3906,pr,dez,2019,cons
Consultas psicológicas,3948,196,4144,pr,jun,2019,cons
Consultas psicológicas,3139,498,3637,pr,dez,2020,cons
Consultas psicológicas,3160,444,3604,pr,jun,2020,cons
Consultas psicológicas,14987,1196,16183,rj,dez,2014,cons
Consultas psicológicas,0,0,0,rj,jun,2014,cons
Consultas psicológicas,0,0,0,rj,dez,2015,cons
Consultas psicológicas,12001,3646,15647,rj,dez,2016,cons
Consultas psicológicas,0,0,0,rj,jun,2016,cons
Consultas psicológicas,11042,2527,13569,rj,dez,2017,cons
Consultas psicológicas,5842,2220,8062,rj,jun,2017,cons
Consultas psicológicas,5632,1179,6811,rj,dez,2018,cons
Consultas psicológicas,5844,1215,7059,rj,jun,2018,cons
Consultas psicológicas,5475,1856,7331,rj,dez,2019,cons
Consultas psicológicas,5687,1065,6752,rj,jun,2019,cons
Consultas psicológicas,2237,826,3063,rj,dez,2020,cons
Consultas psicológicas,1152,35,1187,rj,jun,2020,cons
Consultas psicológicas,207,24,231,rn,dez,2014,cons
Consultas psicológicas,80,33,113,rn,jun,2014,cons
Consultas psicológicas,215,12,227,rn,dez,2015,cons
Consultas psicológicas,346,9,355,rn,dez,2016,cons
Consultas psicológicas,214,24,238,rn,jun,2016,cons
Consultas psicológicas,788,25,813,rn,dez,2017,cons
Consultas psicológicas,333,67,400,rn,jun,2017,cons
Consultas psicológicas,238,110,348,rn,dez,2018,cons
Consultas psicológicas,94,23,117,rn,jun,2018,cons
Consultas psicológicas,2080,153,2233,rn,dez,2019,cons
Consultas psicológicas,508,138,646,rn,jun,2019,cons
Consultas psicológicas,4609,191,4800,rn,dez,2020,cons
Consultas psicológicas,991,102,1093,rn,jun,2020,cons
Consultas psicológicas,567,120,687,ro,dez,2014,cons
Consultas psicológicas,445,89,534,ro,jun,2014,cons
Consultas psicológicas,307,33,340,ro,dez,2015,cons
Consultas psicológicas,208,38,246,ro,dez,2016,cons
Consultas psicológicas,180,36,216,ro,jun,2016,cons
Consultas psicológicas,277,108,385,ro,dez,2017,cons
Consultas psicológicas,295,83,378,ro,jun,2017,cons
Consultas psicológicas,769,137,906,ro,dez,2018,cons
Consultas psicológicas,1098,290,1388,ro,dez,2019,cons
Consultas psicológicas,1192,502,1694,ro,jun,2019,cons
Consultas psicológicas,327,443,770,ro,dez,2020,cons
Consultas psicológicas,430,406,836,ro,jun,2020,cons
Consultas psicológicas,21,192,213,rr,dez,2014,cons
Consultas psicológicas,21,192,213,rr,jun,2014,cons
Consultas psicológicas,11,0,11,rr,dez,2015,cons
Consultas psicológicas,0,0,0,rr,dez,2016,cons
Consultas psicológicas,59,20,79,rr,jun,2016,cons
Consultas psicológicas,0,45,45,rr,dez,2017,cons
Consultas psicológicas,0,51,51,rr,jun,2017,cons
Consultas psicológicas,6,144,0,rr,dez,2018,cons
Consultas psicológicas,2,120,122,rr,jun,2018,cons
Consultas psicológicas,228,80,308,rr,dez,2019,cons
Consultas psicológicas,259,0,259,rr,jun,2019,cons
Consultas psicológicas,788,313,1101,rr,dez,2020,cons
Consultas psicológicas,163,256,419,rr,jun,2020,cons
Consultas psicológicas,9816,1182,10998,rs,dez,2014,cons
Consultas psicológicas,15729,1067,16796,rs,jun,2014,cons
Consultas psicológicas,23778,4223,28001,rs,dez,2015,cons
Consultas psicológicas,23080,4553,27633,rs,dez,2016,cons
Consultas psicológicas,18098,3912,22010,rs,jun,2016,cons
Consultas psicológicas,30822,4177,34999,rs,dez,2017,cons
Consultas psicológicas,23214,4340,27554,rs,jun,2017,cons
Consultas psicológicas,25801,4098,29899,rs,dez,2018,cons
Consultas psicológicas,6506,1127,7633,rs,jun,2018,cons
Consultas psicológicas,32624,5015,37639,rs,dez,2019,cons
Consultas psicológicas,26622,4389,31011,rs,jun,2019,cons
Consultas psicológicas,37346,4127,41473,rs,dez,2020,cons
Consultas psicológicas,30742,4129,34871,rs,jun,2020,cons
Consultas psicológicas,10925,513,11438,sc,dez,2014,cons
Consultas psicológicas,7586,442,8028,sc,jun,2014,cons
Consultas psicológicas,16835,972,17807,sc,dez,2015,cons
Consultas psicológicas,8960,367,9327,sc,dez,2016,cons
Consultas psicológicas,10219,659,10878,sc,jun,2016,cons
Consultas psicológicas,12032,841,12873,sc,dez,2017,cons
Consultas psicológicas,9502,615,10117,sc,jun,2017,cons
Consultas psicológicas,10111,892,11003,sc,dez,2018,cons
Consultas psicológicas,11207,492,11699,sc,jun,2018,cons
Consultas psicológicas,11717,2075,13792,sc,dez,2019,cons
Consultas psicológicas,8563,1508,10071,sc,jun,2019,cons
Consultas psicológicas,11122,1455,12577,sc,dez,2020,cons
Consultas psicológicas,11283,3235,14518,sc,jun,2020,cons
Consultas psicológicas,2670,0,2670,se,dez,2014,cons
Consultas psicológicas,859,0,859,se,jun,2014,cons
Consultas psicológicas,1622,0,1622,se,dez,2015,cons
Consultas psicológicas,2921,57,2978,se,dez,2016,cons
Consultas psicológicas,1981,0,1981,se,jun,2016,cons
Consultas psicológicas,5736,36,5772,se,dez,2017,cons
Consultas psicológicas,4023,24,4047,se,jun,2017,cons
Consultas psicológicas,5415,286,5701,se,dez,2018,cons
Consultas psicológicas,5596,333,5929,se,jun,2018,cons
Consultas psicológicas,4191,52,4243,se,dez,2019,cons
Consultas psicológicas,5760,116,5876,se,jun,2019,cons
Consultas psicológicas,1114,92,1206,se,dez,2020,cons
Consultas psicológicas,3980,127,4107,se,jun,2020,cons
Consultas psicológicas,72464,7250,79714,sp,dez,2014,cons
Consultas psicológicas,NI,NI,NI,sp,jun,2014,cons
Consultas psicológicas,121075,10035,131110,sp,dez,2015,cons
Consultas psicológicas,75438,6383,81821,sp,dez,2016,cons
Consultas psicológicas,65128,6108,71236,sp,jun,2016,cons
Consultas psicológicas,64275,7547,71822,sp,dez,2017,cons
Consultas psicológicas,64734,8059,72793,sp,jun,2017,cons
Consultas psicológicas,51869,7431,59300,sp,dez,2018,cons
Consultas psicológicas,57581,5076,62657,sp,jun,2018,cons
Consultas psicológicas,61225,8711,69936,sp,dez,2019,cons
Consultas psicológicas,51587,8143,59730,sp,jun,2019,cons
Consultas psicológicas,42813,4740,47553,sp,dez,2020,cons
Consultas psicológicas,38188,5890,44078,sp,jun,2020,cons
Consultas psicológicas,713,69,782,to,dez,2014,cons
Consultas psicológicas,1203,30,1233,to,jun,2014,cons
Consultas psicológicas,2523,171,2694,to,dez,2015,cons
Consultas psicológicas,979,20,999,to,dez,2016,cons
Consultas psicológicas,1680,39,1719,to,jun,2016,cons
Consultas psicológicas,1176,22,1198,to,dez,2017,cons
Consultas psicológicas,275,10,285,to,jun,2017,cons
Consultas psicológicas,883,6,889,to,dez,2018,cons
Consultas psicológicas,923,12,935,to,jun,2018,cons
Consultas psicológicas,1120,50,1170,to,dez,2019,cons
Consultas psicológicas,705,193,898,to,jun,2019,cons
Consultas psicológicas,695,127,822,to,dez,2020,cons
Consultas psicológicas,811,99,910,to,jun,2020,cons
